activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	7567457	CHEMBL1908459	Binding constant for DLK kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL1908389	Homo sapiens	Kd	nM	10000.0
	7567457	CHEMBL1908459	Binding constant for DLK kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL1908389	Homo sapiens	Kd	nM	10000.0
	7567945	CHEMBL1908459	Binding constant for DLK kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	=	Kd	nM	370.0	CHEMBL1908389	Homo sapiens	Kd	nM	370.0
	7568413	CHEMBL1908459	Binding constant for DLK kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	>	Kd	nM	10000.0	CHEMBL1908389	Homo sapiens	Kd	nM	10000.0
	7568845	CHEMBL1908459	Binding constant for DLK kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	=	Kd	nM	560.0	CHEMBL1908389	Homo sapiens	Kd	nM	560.0
	7569448	CHEMBL1908459	Binding constant for DLK kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL1908389	Homo sapiens	Kd	nM	10000.0
	7569920	CHEMBL1908459	Binding constant for DLK kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL1908389	Homo sapiens	Kd	nM	10000.0
	7570383	CHEMBL1908459	Binding constant for DLK kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	=	Kd	nM	670.0	CHEMBL1908389	Homo sapiens	Kd	nM	670.0
	7570810	CHEMBL1908459	Binding constant for DLK kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	100.0	CHEMBL1908389	Homo sapiens	Kd	nM	100.0
	7570964	CHEMBL1908459	Binding constant for DLK kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL1908389	Homo sapiens	Kd	nM	10000.0
