activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650846	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL2493	Homo sapiens	Kd		
Not Active	1650846	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL2493	Homo sapiens	Kd		
Not Active	1650847	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707		Kd			CHEMBL2493	Homo sapiens	Kd		
Not Active	1650848	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL2493	Homo sapiens	Kd		
	1650849	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	2000.0	CHEMBL2493	Homo sapiens	Kd	uM	2.0
Not Active	1650850	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL2493	Homo sapiens	Kd		
Not Active	1650851	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL2493	Homo sapiens	Kd		
Not Active	1650852	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL2493	Homo sapiens	Kd		
Not Active	1650853	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL2493	Homo sapiens	Kd		
Not Active	1650854	CHEMBL860901	Average Binding Constant for CAMK1; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL2493	Homo sapiens	Kd		
