activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650522	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1650522	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1650523	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1650524	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1650525	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1650526	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1650527	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL2068	Homo sapiens	Kd		
	1650528	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	=	Kd	nM	4800.0	CHEMBL2068	Homo sapiens	Kd	uM	4.8
Not Active	1650529	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1650530	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL2068	Homo sapiens	Kd		
	1651621	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	870.0	CHEMBL2068	Homo sapiens	Kd	uM	0.87
Not Active	1651622	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041		Kd			CHEMBL2068	Homo sapiens	Kd		
Not Active	1651623	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10		Kd			CHEMBL2068	Homo sapiens	Kd		
	1651624	CHEMBL860779	Average Binding Constant for EPHA2; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385	=	Kd	nM	2100.0	CHEMBL2068	Homo sapiens	Kd	uM	2.1
