activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470209	CHEMBL983611	Inhibition of LATS1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL6167	Homo sapiens	INH	%	10.0
	2470209	CHEMBL983611	Inhibition of LATS1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL6167	Homo sapiens	INH	%	10.0
	2897834	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897835	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897836	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	=	Kd	nM	470.0	CHEMBL6167	Homo sapiens	Kd	nM	470.0
	2897837	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897838	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897839	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897840	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	=	Kd	nM	1700.0	CHEMBL6167	Homo sapiens	Kd	nM	1700.0
	2897841	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897842	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897843	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897844	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897845	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897846	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897847	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897848	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897849	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897850	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897851	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897852	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897853	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		CHEMBL191003	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897854	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897855	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Kd	nM	2600.0	CHEMBL6167	Homo sapiens	Kd	nM	2600.0
	2897856	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897857	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897858	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897859	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	1100.0	CHEMBL6167	Homo sapiens	Kd	nM	1100.0
	2897860	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897861	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897862	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897863	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897864	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1		CHEMBL440084	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897865	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897866	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	42.0	CHEMBL6167	Homo sapiens	Kd	nM	42.0
	2897867	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	=	Kd	nM	850.0	CHEMBL6167	Homo sapiens	Kd	nM	850.0
	2897868	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	630.0	CHEMBL6167	Homo sapiens	Kd	nM	630.0
	2897869	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	=	Kd	nM	5500.0	CHEMBL6167	Homo sapiens	Kd	nM	5500.0
	2897870	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
	2897871	CHEMBL1062843	Binding constant for LATS1 kinase domain	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828	>	Kd	nM	10000.0	CHEMBL6167	Homo sapiens	Kd	uM	10.0
