activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470098	CHEMBL1032240	Inhibition of ACVR2A at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5616	Homo sapiens	INH	%	10.0
	2470098	CHEMBL1032240	Inhibition of ACVR2A at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5616	Homo sapiens	INH	%	10.0
	2896532	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
	2896533	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
	2896534	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
	2896535	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
	2896536	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
	2896537	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
	2896538	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
	2896539	CHEMBL1060234	Binding constant for ACVR2A kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5616	Homo sapiens	Kd	uM	10.0
