activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650828	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL3982	Homo sapiens	Kd		
Not Active	1650828	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL3982	Homo sapiens	Kd		
	1650829	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	250.0	CHEMBL3982	Homo sapiens	Kd	uM	0.25
Not Active	1650830	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL3982	Homo sapiens	Kd		
	1650831	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	1400.0	CHEMBL3982	Homo sapiens	Kd	uM	1.4
Not Active	1650832	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL3982	Homo sapiens	Kd		
Not Active	1650833	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL3982	Homo sapiens	Kd		
Not Active	1650834	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL3982	Homo sapiens	Kd		
Not Active	1650835	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL3982	Homo sapiens	Kd		
Not Active	1650836	CHEMBL860780	Average Binding Constant for FER; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL3982	Homo sapiens	Kd		
