activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	13438236	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(Cc2ccc(F)cc2)CC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420551	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438236	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(Cc2ccc(F)cc2)CC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420551	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438237	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(c2ccc(F)cc2)CC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420555	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438238	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(c2ccccc2)CCC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420573	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438239	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(c2ccccc2)CC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420572	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438240	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	CC(C)(NC(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1)c1ccccc1		CHEMBL2420570	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438241	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	CCC[C@@H](NC(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1)c1ccccc1		CHEMBL2420565	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438242	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(N[C@H](CO)c1ccccc1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420564	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438243	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	CC[C@@H](NC(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1)c1ccccc1		CHEMBL2420562	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
	13438244	CHEMBL2422453	Inhibition of AGK in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	C[C@H](NC(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1)c1ccccc1		CHEMBL2420560	<	Inhibition	%	35.0	CHEMBL2417354	Homo sapiens	INH	%	35.0
